,Unnamed: 0,title,Date,title_label,Open,Change
29,30,"'라춘도 쬬비치'에서 물놀이를…카카오, 2024 서울썸머비치 참여",2024-08-02,1,39500.0,150.0
30,31,"MS사태 재현 막으려면…카카오엔터프라이즈 ""멀티·소버린 도입"" 제시",2024-08-01,0,39350.0,100.0
31,32,"""일상서 필요한 장소 정보 쉽고 빠르게""…카카오맵, 장소상세 서비스 개편",2024-08-01,1,39350.0,100.0
32,33,"카카오게임즈, RTS 스톰게이트 얼리액세스 출시…스타2·워크3 제작진 개발 게임",2024-07-31,0,39250.0,-350.0
33,34,티메프 사태에 네이버웹툰·카카오페이지 해피머니 결제 막혀,2024-07-26,0,40550.0,1200.0
34,35,"카카오 비상경영…정신아, 총수 공백 메운다",2024-07-25,0,39350.0,850.0
35,36,"전국 날씨를 한눈에…카카오, '다음 날씨 서비스' 새 단장",2024-07-25,1,39350.0,850.0
36,37,[속보] 카카오 비상경영체제 돌입…정신아 대표가 경영쇄신위원장 대행,2024-07-25,0,39350.0,850.0
37,38,"'인재·신사업·본원 경쟁력' 강화…카카오, 제2혁신 나서야",2024-07-24,1,38500.0,-2000.0
38,39,"카카오 ""경영공백 최소화""…정신아 역할 커진다",2024-07-23,0,40500.0,-850.0
39,40,"檢, 시세조종 외 3개 수사도 속도…카카오 '성장시계' 멈춘다",2024-07-23,0,40500.0,-850.0
40,41,쿠팡도 통신장애 관리 의무 진다…카카오는 데이터센터 규제,2024-07-23,0,40500.0,-850.0
41,42,카카오 김범수 구속 심사…취재진 질문에는 침묵,2024-07-22,0,41350.0,450.0
42,45,"카카오모빌리티, 국제교통포럼과 '기업협력이사회 멤버십 연장' 업무협약",2024-07-19,1,40900.0,100.0
43,46,"카카오 김범수 ""시세조종 혐의 사실 아냐…불법행위 용인한적 없어""",2024-07-18,0,40800.0,-150.0
44,47,카카오톡 접속 오류…고용24·워크넷·고용보험은 먹통,2024-07-18,0,40800.0,-150.0
45,48,"구속 기로에 선 김범수…카카오, 경영쇄신·신사업 '시계제로'",2024-07-17,0,40950.0,-1000.0
